ts,asset,items,status,status_time,power_avg,cycle_time,alarm,product
2022-08-31 22:00:00+00:00,0,4.0,2.0,43.0,2.0,0.0,0,0
2022-08-31 22:00:00+00:00,1,8.0,2.0,20.0,2.0,0.0,0,1
2022-08-31 22:05:00+00:00,1,9.0,2.0,38.0,1.0,0.0,0,1
2022-08-31 22:10:00+00:00,1,8.0,2.0,39.0,1.0,0.0,0,1
2022-08-31 22:10:00+00:00,0,8.0,2.0,3.0,6.0,0.0,0,0
2022-08-31 22:15:00+00:00,0,5.0,2.0,18.0,3.0,0.0,0,0
2022-08-31 22:15:00+00:00,1,8.0,2.0,33.0,1.0,0.0,0,1
2022-08-31 22:15:00+00:00,2,6.0,2.0,16.0,1.0,0.0,0,2
2022-08-31 22:20:00+00:00,1,8.0,2.0,41.0,1.0,0.0,0,1
2022-08-31 22:20:00+00:00,0,4.0,2.0,31.0,3.0,0.0,0,0
2022-08-31 22:20:00+00:00,2,5.0,2.0,33.0,0.0,0.0,0,2
2022-08-31 22:25:00+00:00,2,5.0,2.0,43.0,1.0,0.0,0,2
2022-08-31 22:25:00+00:00,1,8.0,2.0,47.0,2.0,0.0,0,1
2022-08-31 22:25:00+00:00,0,5.0,2.0,45.0,3.0,0.0,0,0
2022-08-31 22:30:00+00:00,1,8.0,2.0,37.0,1.0,0.0,0,1
2022-08-31 22:30:00+00:00,2,6.0,2.0,44.0,0.0,0.0,0,2
2022-08-31 22:35:00+00:00,1,8.0,2.0,16.0,1.0,0.0,0,1
2022-08-31 22:35:00+00:00,0,8.0,2.0,4.0,6.0,0.0,0,0
2022-08-31 22:40:00+00:00,1,8.0,2.0,28.0,1.0,0.0,0,1
2022-08-31 22:40:00+00:00,0,4.0,2.0,20.0,3.0,0.0,0,0
2022-08-31 22:40:00+00:00,2,5.0,2.0,10.0,0.0,0.0,0,2
2022-08-31 22:45:00+00:00,0,5.0,2.0,35.0,3.0,0.0,0,0
2022-08-31 22:45:00+00:00,1,8.0,2.0,36.0,2.0,0.0,0,1
2022-08-31 22:45:00+00:00,2,6.0,2.0,27.0,1.0,0.0,0,2
2022-08-31 22:50:00+00:00,0,4.0,2.0,47.0,3.0,0.0,0,0
2022-08-31 22:50:00+00:00,2,5.0,2.0,42.0,0.0,0.0,0,2
2022-08-31 23:00:00+00:00,0,8.0,2.0,6.0,6.0,0.0,0,0
2022-08-31 23:00:00+00:00,1,8.0,2.0,14.0,1.0,0.0,0,1
2022-08-31 23:05:00+00:00,1,8.0,2.0,28.0,1.0,0.0,0,1
2022-08-31 23:05:00+00:00,0,4.0,2.0,19.0,3.0,0.0,0,0
2022-08-31 23:10:00+00:00,0,5.0,2.0,37.0,3.0,0.0,0,0
2022-08-31 23:10:00+00:00,1,8.0,2.0,37.0,2.0,0.0,0,1
2022-08-31 23:10:00+00:00,2,5.0,2.0,49.0,1.0,0.0,0,2
2022-08-31 23:15:00+00:00,1,8.0,2.0,48.0,1.0,0.0,0,1
2022-08-31 23:20:12+00:00,2,8.0,3.0,6.0,1.0,0.0,1,2
2022-08-31 23:20:33+00:00,2,0.0,1.0,21.0,0.0,0.0,0,2
2022-08-31 23:20:34+00:00,2,0.0,2.0,1.0,0.0,0.0,0,2
2022-08-31 23:25:00+00:00,0,4.0,2.0,17.0,3.0,0.0,0,0
2022-08-31 23:25:00+00:00,2,5.0,2.0,44.0,0.0,0.0,0,2
2022-08-31 23:25:00+00:00,1,15.0,2.0,49.0,2.0,0.0,0,1
2022-08-31 23:30:00+00:00,0,5.0,2.0,30.0,3.0,0.0,0,0
2022-08-31 23:35:00+00:00,0,4.0,2.0,46.0,3.0,0.0,0,0
2022-08-31 23:35:00+00:00,1,16.0,2.0,0.0,3.0,0.0,0,1
2022-08-31 23:40:00+00:00,2,14.0,2.0,36.0,1.0,0.0,0,2
2022-08-31 23:40:00+00:00,1,7.0,2.0,12.0,1.0,0.0,0,1
2022-08-31 23:45:00+00:00,1,9.0,2.0,17.0,1.0,0.0,0,1
2022-08-31 23:45:00+00:00,0,8.0,2.0,12.0,6.0,0.0,0,0
2022-08-31 23:50:00+00:00,1,8.0,2.0,30.0,1.0,0.0,0,1
2022-08-31 23:50:00+00:00,0,5.0,2.0,32.0,3.0,0.0,0,0
2022-08-31 23:55:00+00:00,2,14.0,2.0,39.0,2.0,0.0,0,2
2022-08-31 23:55:00+00:00,1,8.0,2.0,32.0,2.0,0.0,0,1
2022-09-01 00:00:00+00:00,1,8.0,2.0,15.0,1.0,0.0,0,1
2022-09-01 00:00:00+00:00,2,6.0,2.0,37.0,0.0,0.0,0,2
2022-09-01 00:00:00+00:00,0,8.0,2.0,0.0,6.0,0.0,0,0
2022-09-01 00:05:00+00:00,1,8.0,2.0,19.0,1.0,0.0,0,1
2022-09-01 00:05:00+00:00,0,4.0,2.0,17.0,2.0,0.0,0,0
2022-09-01 00:05:00+00:00,2,5.0,2.0,44.0,1.0,0.0,0,2
2022-09-01 00:10:00+00:00,2,5.0,2.0,48.0,0.0,0.0,0,2
2022-09-01 00:10:00+00:00,0,5.0,2.0,36.0,3.0,0.0,0,0
2022-09-01 00:15:26+00:00,2,4.0,1.0,15.0,1.0,0.0,0,2
2022-09-01 00:16:36+00:00,2,0.0,2.0,15.0,0.0,0.0,0,2
2022-09-01 00:20:00+00:00,2,4.0,2.0,0.0,0.0,0.0,0,2
2022-09-01 00:22:32+00:00,2,2.0,3.0,11.0,0.0,0.0,1,2
2022-09-01 00:22:54+00:00,2,0.0,1.0,22.0,0.0,0.0,0,2
2022-09-01 00:23:51+00:00,2,0.0,2.0,19.0,0.0,0.0,0,2
2022-09-01 00:25:00+00:00,1,8.0,2.0,5.0,1.0,0.0,0,1
2022-09-01 00:25:00+00:00,2,2.0,2.0,12.0,0.0,0.0,0,2
2022-09-01 00:25:00+00:00,0,11.0,2.0,5.0,9.0,0.0,0,0
2022-09-01 00:29:01+00:00,2,3.0,1.0,8.0,1.0,0.0,0,2
2022-09-01 00:30:00+00:00,0,4.0,2.0,19.0,3.0,0.0,0,0
2022-09-01 00:30:00+00:00,1,8.0,2.0,8.0,1.0,0.0,0,1
2022-09-01 00:35:00+00:00,2,0.0,1.0,16.0,0.0,0.0,0,2
2022-09-01 00:35:00+00:00,0,5.0,2.0,36.0,3.0,0.0,0,0
2022-09-01 00:35:00+00:00,1,9.0,2.0,14.0,1.0,0.0,0,1
2022-09-01 00:40:00+00:00,2,0.0,1.0,33.0,0.0,0.0,0,2
2022-09-01 00:40:00+00:00,1,8.0,2.0,32.0,2.0,0.0,0,1
2022-09-01 00:45:00+00:00,1,8.0,2.0,45.0,1.0,0.0,0,1
2022-09-01 00:50:00+00:00,1,8.0,2.0,13.0,1.0,0.0,0,1
2022-09-01 00:50:00+00:00,0,4.0,2.0,15.0,3.0,0.0,0,0
2022-09-01 00:55:00+00:00,2,0.0,1.0,3.0,1.0,0.0,0,2
2022-09-01 00:55:00+00:00,1,8.0,2.0,31.0,1.0,0.0,0,1
2022-09-01 00:55:00+00:00,0,5.0,2.0,30.0,3.0,0.0,0,0
2022-09-01 01:00:00+00:00,2,3.0,2.0,23.0,0.0,0.0,0,2
2022-09-01 01:00:00+00:00,1,8.0,2.0,22.0,1.0,0.0,0,1
2022-09-01 01:05:00+00:00,1,8.0,2.0,22.0,2.0,0.0,0,1
2022-09-01 01:05:00+00:00,2,5.0,2.0,29.0,1.0,0.0,0,2
2022-09-01 01:10:00+00:00,2,5.0,2.0,39.0,0.0,0.0,0,2
2022-09-01 01:10:00+00:00,0,8.0,2.0,9.0,6.0,0.0,0,0
2022-09-01 01:10:00+00:00,1,8.0,2.0,14.0,1.0,0.0,0,1
2022-09-01 01:15:00+00:00,1,8.0,2.0,17.0,1.0,0.0,0,1
2022-09-01 01:15:00+00:00,0,5.0,2.0,23.0,3.0,0.0,0,0
2022-09-01 01:20:00+00:00,0,4.0,2.0,40.0,3.0,0.0,0,0
